,Unnamed: 0.1,Unnamed: 0,Candidate identification,Candidate name,Incumbent challenger status,Party code,Party affiliation,Total receipts,Transfers from authorized committees,Total disbursements,Transfers to authorized committees,Beginning cash,Ending cash,Contributions from candidate,Loans from candidate,Other loans,Candidate loan repayments,Other loan repayments,Debts owed by,Total individual contributions,Candidate state,Candidate district,Special election status,Primary election status,Runoff election status,General election status,General election percentage,Contributions from other political committees,Contributions from party committees,Coverage end date,Refunds to individuals,Refunds to committees,Affiliated Committee Id,Affiliated Committee Type,Affiliated Committee Name,Street one,Street two,City or town,State,ZIP code,lat,lon
0,0,0,H2AK00200,"CONSTANT, CHRISTOPHER [DEM/Candidate]",C,1,DEM,164637.9,0,164637.9,0,0,0,614.85,0,0,0,0,143180.09,158023.05,AK,0,,,,,,1000,5000,12/31/2022,8300,0,C00805580,H,CONSTANT FOR CONGRESS,PO BOX 240361,,ANCHORAGE,AK,99524,61.185274,-149.8840525
1,1,1,H2AK01158,"PELTOLA, MARY [DEM/Incumbent]",I,1,DEM,7751293.39,186868.19,7060033.09,0,0,691260.3,25,0,0,0,0,0,7149826.02,AK,0,,,,,,384020.59,10000,12/31/2022,136657.7,3912.66,C00812388,H,MARY PELTOLA FOR ALASKA,PO BOX 210014,,ANCHORAGE,AK,99521,61.198165,-149.733465
2,2,2,H2AK01240,"WOOL, ADAM L [DEM/Opponent]",O,1,DEM,16217.07,0,16217.07,0,0,0,1100,0,0,0,0,0,15117,AK,0,,,,,,0,0,07/15/2022,0,0,C00814053,H,ADAM WOOL FOR CONGRESS,3991 PARKS RIDGE ROAD,,FAIRBANKS,AK,99709,64.81759597,-148.0522896
3,3,3,H2AK00218,"REVAK, JOSHUA CARL [REP/Opponent]",O,2,REP,121841,0,121841,0,0,0,0,0,0,0,0,0,116666,AK,0,,,,,,5000,0,09/16/2022,14600,0,C00811141,H,VOTE JOSH REVAK,3705 ARCTIC BLVD,#584,ANCHORAGE,AK,99503,61.18706082,-149.8977944
4,4,4,H2AK00226,"PALIN, SARAH [REP/Opponent]",O,2,REP,1971160.93,112963.43,1924781.35,0,0,46379.58,0,0,0,0,0,2525.05,1770697.9,AK,0,,,,,,81305,0,12/31/2022,43128.37,1000,C00811323,H,SARAH FOR ALASKA,P.O. BOX 871235,,WASILLA,AK,99687,61.277699,-150.09877
5,5,5,H2AK01059,"PURHAM, RANDY [REP/Candidate]",C,2,REP,1548.51,0,5621.6,0,140,0,0,0,0,0,0,0,1548.51,AK,0,,,,,,0,0,07/27/2022,0,0,C00774224,H,RANDY PURHAM FOR US CONGRESS,P.O. BOX 1719,,SOLDOTNA,AK,99669,60.48743,-151.154985
6,6,6,H2AK01083,"BEGICH, NICHOLAS III [REP/Candidate]",C,2,REP,1640060.27,0,1598826.28,0,0,41233.99,23971.16,650000,0,200000,0,450000,929235.35,AK,0,,,,,,36853.74,0,12/31/2022,650,0,C00792341,H,ALASKANS FOR NICK BEGICH,PO BOX 190171,,ANCHORAGE,AK,99530,61.1837001,-149.9884176
7,7,7,H2AK01133,"COGHILL, JOHN B JR. [REP/Opponent]",O,2,REP,26425,0,26425,0,0,0,0,0,0,0,0,0,26425,AK,0,,,,,,0,0,08/13/2022,0,0,C00811414,H,COGHILL FOR CONGRESS,P.O. BOX 58003,,FAIRBANKS,AK,99711,64.84526,-147.7221
8,8,8,H2AK01174,"SWEENEY, TARA M [REP/Opponent]",O,2,REP,332195.05,0,332195.05,0,0,0,0,0,0,0,0,0,308314.72,AK,0,,,,,,21300,0,11/08/2022,0,0,C00811315,H,TARA FOR ALASKA,PO BOX 91231,,ANCHORAGE,AK,99509,61.195285,-149.91498
9,9,9,H6AK00045,"YOUNG, DONALD E [REP/Incumbent]",I,2,REP,667302.17,170060.53,916475.36,0,249173.19,0,0,0,0,0,0,0,203591.43,AK,0,,,,,,278500,0,12/31/2022,13802,110603.12,C00012229,H,ALASKANS FOR DON YOUNG,2504 FAIRBANKS ST,,ANCHORAGE,AK,99503,61.19741435,-149.8727081
